.,NS,"[m.root-servers.net.,i.root-servers.net.,l.root-servers.net.,d.root-servers.net.,e.root-servers.net.,h.root-servers.net.,f.root-servers.net.,c.root-servers.net.,j.root-servers.net.,g.root-servers.net.,b.root-servers.net.,a.root-servers.net.,k.root-servers.net.]"
m.root-servers.net.,A,[202.12.27.33]
i.root-servers.net.,A,[192.36.148.17]
l.root-servers.net.,A,[199.7.83.42]
d.root-servers.net.,A,[199.7.91.13]
e.root-servers.net.,A,[192.203.230.10]
h.root-servers.net.,A,[198.97.190.53]
f.root-servers.net.,A,[192.5.5.241]
c.root-servers.net.,A,[192.33.4.12]
j.root-servers.net.,A,[192.58.128.30]
g.root-servers.net.,A,[192.112.36.4]
b.root-servers.net.,A,[199.9.14.201]
a.root-servers.net.,A,[198.41.0.4]
k.root-servers.net.,A,[193.0.14.129]
com.,NS,"[j.gtld-servers.net.,g.gtld-servers.net.,m.gtld-servers.net.,d.gtld-servers.net.,c.gtld-servers.net.,e.gtld-servers.net.,i.gtld-servers.net.,k.gtld-servers.net.,l.gtld-servers.net.,b.gtld-servers.net.,a.gtld-servers.net.,h.gtld-servers.net.,f.gtld-servers.net.]"
j.gtld-servers.net.,A,[192.48.79.30]
g.gtld-servers.net.,A,[192.42.93.30]
m.gtld-servers.net.,A,[192.55.83.30]
d.gtld-servers.net.,A,[192.31.80.30]
c.gtld-servers.net.,A,[192.26.92.30]
e.gtld-servers.net.,A,[192.12.94.30]
i.gtld-servers.net.,A,[192.43.172.30]
k.gtld-servers.net.,A,[192.52.178.30]
l.gtld-servers.net.,A,[192.41.162.30]
b.gtld-servers.net.,A,[192.33.14.30]
a.gtld-servers.net.,A,[192.5.6.30]
h.gtld-servers.net.,A,[192.54.112.30]
f.gtld-servers.net.,A,[192.35.51.30]
google.com.,NS,"[ns4.google.com.,ns3.google.com.,ns1.google.com.,ns2.google.com.]"
ns4.google.com.,A,[216.239.38.10]
ns3.google.com.,A,[216.239.36.10]
ns1.google.com.,A,[216.239.32.10]
ns2.google.com.,A,[216.239.34.10]
net.,NS,"[d.gtld-servers.net.,j.gtld-servers.net.,h.gtld-servers.net.,i.gtld-servers.net.,l.gtld-servers.net.,g.gtld-servers.net.,c.gtld-servers.net.,k.gtld-servers.net.,b.gtld-servers.net.,a.gtld-servers.net.,f.gtld-servers.net.,m.gtld-servers.net.,e.gtld-servers.net.]"
root-servers.net.,NS,"[k.root-servers.net.,m.root-servers.net.,h.root-servers.net.,j.root-servers.net.,c.root-servers.net.,a.root-servers.net.,i.root-servers.net.,l.root-servers.net.,e.root-servers.net.,d.root-servers.net.,g.root-servers.net.,b.root-servers.net.,f.root-servers.net.]"
gtld-servers.net.,NS,"[av3.nstld.com.,av1.nstld.com.,av4.nstld.com.,av2.nstld.com.]"
av3.nstld.com.,A,[192.82.133.30]
av1.nstld.com.,A,[192.42.177.30]
av4.nstld.com.,A,[192.82.134.30]
av2.nstld.com.,A,[192.42.178.30]
nstld.com.,NS,"[av2.nstld.com.,av3.nstld.com.,av1.nstld.com.,av4.nstld.com.]"
